company,line,station,norm_company,norm_line,norm_station
JR,ＪＲ函館本線,上幌向,jr,函館本線,上幌向
JR,ＪＲ函館本線,岩見沢,jr,函館本線,岩見沢
JR,ＪＲ函館本線,峰延,jr,函館本線,峰延
JR,ＪＲ函館本線,光珠内,jr,函館本線,光珠内
JR,ＪＲ函館本線,美唄,jr,函館本線,美唄
JR,ＪＲ函館本線,茶志内,jr,函館本線,茶志内
JR,ＪＲ函館本線,奈井江,jr,函館本線,奈井江
JR,ＪＲ函館本線,豊沼,jr,函館本線,豊沼
JR,ＪＲ函館本線,砂川,jr,函館本線,砂川
JR,ＪＲ函館本線,滝川,jr,函館本線,滝川
JR,ＪＲ函館本線,江部乙,jr,函館本線,江部乙
JR,ＪＲ函館本線,妹背牛,jr,函館本線,妹背牛
JR,ＪＲ函館本線,深川,jr,函館本線,深川
JR,ＪＲ函館本線,納内,jr,函館本線,納内
JR,ＪＲ函館本線,近文,jr,函館本線,近文
JR,ＪＲ函館本線,旭川,jr,函館本線,旭川
JR,ＪＲ釧網本線,網走,jr,釧網本線,網走
JR,ＪＲ釧網本線,桂台,jr,釧網本線,桂台
JR,ＪＲ釧網本線,鱒浦,jr,釧網本線,鱒浦
JR,ＪＲ釧網本線,藻琴,jr,釧網本線,藻琴
JR,ＪＲ釧網本線,北浜,jr,釧網本線,北浜
JR,ＪＲ釧網本線,浜小清水,jr,釧網本線,浜小清水
JR,ＪＲ釧網本線,止別,jr,釧網本線,止別
JR,ＪＲ釧網本線,知床斜里,jr,釧網本線,知床斜里
JR,ＪＲ釧網本線,中斜里,jr,釧網本線,中斜里
JR,ＪＲ釧網本線,清里町,jr,釧網本線,清里町
JR,ＪＲ釧網本線,札弦,jr,釧網本線,札弦
JR,ＪＲ釧網本線,緑,jr,釧網本線,緑
JR,ＪＲ釧網本線,川湯温泉,jr,釧網本線,川湯温泉
JR,ＪＲ釧網本線,美留和,jr,釧網本線,美留和
JR,ＪＲ釧網本線,摩周,jr,釧網本線,摩周
JR,ＪＲ釧網本線,標茶,jr,釧網本線,標茶
JR,ＪＲ釧網本線,細岡,jr,釧網本線,細岡
JR,ＪＲ釧網本線,釧路湿原,jr,釧網本線,釧路湿原
JR,ＪＲ釧網本線,遠矢,jr,釧網本線,遠矢
JR,ＪＲ釧網本線,東釧路,jr,釧網本線,東釧路
JR,ＪＲ釧網本線,釧路,jr,釧網本線,釧路
JR,ＪＲ日高本線,苫小牧,jr,日高本線,苫小牧
JR,ＪＲ日高本線,勇払,jr,日高本線,勇払
JR,ＪＲ日高本線,浜厚真,jr,日高本線,浜厚真
JR,ＪＲ日高本線,鵡川,jr,日高本線,鵡川
JR,ＪＲ富良野線,ラベンダー畑,jr,富良野線,ラベンダー畑
JR,ＪＲ石北本線,旭川,jr,石北本線,旭川
JR,ＪＲ石北本線,旭川四条,jr,石北本線,旭川四条
JR,ＪＲ石北本線,新旭川,jr,石北本線,新旭川
JR,ＪＲ石北本線,南永山,jr,石北本線,南永山
JR,ＪＲ石北本線,東旭川,jr,石北本線,東旭川
JR,ＪＲ石北本線,桜岡,jr,石北本線,桜岡
JR,ＪＲ石北本線,当麻,jr,石北本線,当麻
JR,ＪＲ石北本線,伊香牛,jr,石北本線,伊香牛
JR,ＪＲ石北本線,愛別,jr,石北本線,愛別
JR,ＪＲ石北本線,中愛別,jr,石北本線,中愛別
JR,ＪＲ石北本線,安足間,jr,石北本線,安足間
JR,ＪＲ石北本線,上川,jr,石北本線,上川
JR,ＪＲ石北本線,丸瀬布,jr,石北本線,丸瀬布
JR,ＪＲ石北本線,瀬戸瀬,jr,石北本線,瀬戸瀬
JR,ＪＲ石北本線,遠軽,jr,石北本線,遠軽
JR,ＪＲ石北本線,安国,jr,石北本線,安国
JR,ＪＲ石北本線,生田原,jr,石北本線,生田原
JR,ＪＲ石北本線,西留辺蘂,jr,石北本線,西留辺蘂
JR,ＪＲ石北本線,留辺蘂,jr,石北本線,留辺蘂
JR,ＪＲ石北本線,相内,jr,石北本線,相内
JR,ＪＲ石北本線,東相内,jr,石北本線,東相内
JR,ＪＲ石北本線,西北見,jr,石北本線,西北見
JR,ＪＲ石北本線,北見,jr,石北本線,北見
JR,ＪＲ石北本線,柏陽,jr,石北本線,柏陽
JR,ＪＲ石北本線,愛し野,jr,石北本線,愛し野
JR,ＪＲ石北本線,端野,jr,石北本線,端野
JR,ＪＲ石北本線,緋牛内,jr,石北本線,緋牛内
JR,ＪＲ石北本線,美幌,jr,石北本線,美幌
JR,ＪＲ石北本線,西女満別,jr,石北本線,西女満別
JR,ＪＲ石北本線,女満別,jr,石北本線,女満別
JR,ＪＲ石北本線,呼人,jr,石北本線,呼人
JR,ＪＲ石北本線,網走,jr,石北本線,網走
札幌市電,札幌市電,西４丁目,札幌市電,札幌市電,西4丁目
札幌市電,札幌市電,西８丁目,札幌市電,札幌市電,西8丁目
札幌市電,札幌市電,中央区役所前,札幌市電,札幌市電,中央区役所前
札幌市電,札幌市電,西１５丁目,札幌市電,札幌市電,西15丁目
札幌市電,札幌市電,西線６条,札幌市電,札幌市電,西線6条
札幌市電,札幌市電,西線９条旭山公園通,札幌市電,札幌市電,西線9条旭山公園通
札幌市電,札幌市電,西線１１条,札幌市電,札幌市電,西線11条
札幌市電,札幌市電,西線１４条,札幌市電,札幌市電,西線14条
札幌市電,札幌市電,西線１６条,札幌市電,札幌市電,西線16条
札幌市電,札幌市電,ロープウェイ入口,札幌市電,札幌市電,ロープウェイ入口
札幌市電,札幌市電,電車事業所前,札幌市電,札幌市電,電車事業所前
札幌市電,札幌市電,中央図書館前,札幌市電,札幌市電,中央図書館前
札幌市電,札幌市電,石山通,札幌市電,札幌市電,石山通
札幌市電,札幌市電,東屯田通,札幌市電,札幌市電,東屯田通
札幌市電,札幌市電,幌南小学校前,札幌市電,札幌市電,幌南小学校前
札幌市電,札幌市電,山鼻１９条,札幌市電,札幌市電,山鼻19条
札幌市電,札幌市電,静修学園前,札幌市電,札幌市電,静修学園前
札幌市電,札幌市電,行啓通,札幌市電,札幌市電,行啓通
札幌市電,札幌市電,中島公園通,札幌市電,札幌市電,中島公園通
札幌市電,札幌市電,山鼻９条,札幌市電,札幌市電,山鼻9条
札幌市電,札幌市電,東本願寺前,札幌市電,札幌市電,東本願寺前
札幌市電,札幌市電,資生館小学校前,札幌市電,札幌市電,資生館小学校前
札幌市電,札幌市電,すすきの,札幌市電,札幌市電,すすきの
札幌市電,札幌市電,狸小路,札幌市電,札幌市電,狸小路
札幌市営地下鉄,地下鉄南北線,麻生,札幌市営地下鉄,地下鉄南北線,麻生
札幌市営地下鉄,地下鉄南北線,北３４条,札幌市営地下鉄,地下鉄南北線,北34条
札幌市営地下鉄,地下鉄南北線,北２４条,札幌市営地下鉄,地下鉄南北線,北24条
札幌市営地下鉄,地下鉄南北線,北１８条,札幌市営地下鉄,地下鉄南北線,北18条
札幌市営地下鉄,地下鉄南北線,北１２条,札幌市営地下鉄,地下鉄南北線,北12条
札幌市営地下鉄,地下鉄南北線,さっぽろ,札幌市営地下鉄,地下鉄南北線,さっぽろ
札幌市営地下鉄,地下鉄南北線,大通,札幌市営地下鉄,地下鉄南北線,大通
札幌市営地下鉄,地下鉄南北線,すすきの,札幌市営地下鉄,地下鉄南北線,すすきの
札幌市営地下鉄,地下鉄南北線,中島公園,札幌市営地下鉄,地下鉄南北線,中島公園
札幌市営地下鉄,地下鉄南北線,幌平橋,札幌市営地下鉄,地下鉄南北線,幌平橋
札幌市営地下鉄,地下鉄南北線,中の島,札幌市営地下鉄,地下鉄南北線,中の島
札幌市営地下鉄,地下鉄南北線,平岸,札幌市営地下鉄,地下鉄南北線,平岸
札幌市営地下鉄,地下鉄南北線,南平岸,札幌市営地下鉄,地下鉄南北線,南平岸
札幌市営地下鉄,地下鉄南北線,澄川,札幌市営地下鉄,地下鉄南北線,澄川
札幌市営地下鉄,地下鉄南北線,自衛隊前,札幌市営地下鉄,地下鉄南北線,自衛隊前
札幌市営地下鉄,地下鉄南北線,真駒内,札幌市営地下鉄,地下鉄南北線,真駒内
札幌市営地下鉄,地下鉄東豊線,新道東,札幌市営地下鉄,地下鉄東豊線,新道東
